chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20170925,2017-09-25,2017,9,25,Segunda-feira,0,3,0,0,
20170926,2017-09-26,2017,9,26,Terça-feira,0,3,0,0,
20170927,2017-09-27,2017,9,27,Quarta-feira,0,3,0,0,
20170928,2017-09-28,2017,9,28,Quinta-feira,0,3,0,0,
20170929,2017-09-29,2017,9,29,Sexta-feira,0,3,0,0,
20170930,2017-09-30,2017,9,30,Sábado,1,3,0,0,
20171001,2017-10-01,2017,10,1,Domingo,1,4,0,0,
20171002,2017-10-02,2017,10,2,Segunda-feira,0,4,0,0,
20171003,2017-10-03,2017,10,3,Terça-feira,0,4,0,0,
20171004,2017-10-04,2017,10,4,Quarta-feira,0,4,0,0,
20171005,2017-10-05,2017,10,5,Quinta-feira,0,4,0,0,
